## 1.1.1
## assembly	: /in/data/genome_assembly.fasta
## coverage	 bam0 - /in/my_mapped_reads.sorted.bam
## taxonomy	: no taxonomy information found
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6%s	phylum.s.7%s	phylum.c.8
NODE_22_length_68392_cov_74.446373	68392	0.4379	0	0.0	N/A	N/A	N/A
NODE_23_length_67409_cov_78.812318	67409	0.4145	0	0.0	N/A	N/A	N/A
NODE_24_length_63878_cov_81.008652	63878	0.4168	10	0.0	N/A	N/A	N/A
NODE_29_length_51695_cov_71.095122	51695	0.3991	0	0.0175	N/A	N/A	N/A
NODE_36_length_46386_cov_71.350364	46386	0.398	0	0.0065	N/A	N/A	N/A
NODE_40_length_45336_cov_75.958992	45336	0.4303	0	0.0033	N/A	N/A	N/A
NODE_41_length_45154_cov_64.877321	45154	0.4044	0	0.0134	N/A	N/A	N/A
NODE_42_length_44924_cov_76.432894	44924	0.4358	0	0.0303	N/A	N/A	N/A
NODE_43_length_44601_cov_73.713907	44601	0.4158	0	0.0	N/A	N/A	N/A
NODE_57_length_39725_cov_68.016117	39725	0.4146	0	0.0	N/A	N/A	N/A
NODE_62_length_38928_cov_77.655530	38928	0.4246	0	0.0	N/A	N/A	N/A
NODE_63_length_38529_cov_71.912254	38529	0.41	0	0.0	N/A	N/A	N/A
NODE_65_length_38452_cov_67.054827	38452	0.4356	0	0.0	N/A	N/A	N/A
NODE_78_length_36923_cov_77.118547	36923	0.4279	0	0.0	N/A	N/A	N/A
NODE_79_length_36749_cov_88.805492	36749	0.404	0	0.0041	N/A	N/A	N/A
NODE_82_length_36391_cov_68.627196	36391	0.4228	0	0.0	N/A	N/A	N/A
NODE_83_length_36217_cov_70.776868	36217	0.4172	0	0.0	N/A	N/A	N/A
NODE_87_length_35721_cov_68.973376	35721	0.4035	0	0.0042	N/A	N/A	N/A
NODE_89_length_35462_cov_85.283934	35462	0.4075	0	0.0043	N/A	N/A	N/A
NODE_91_length_35176_cov_68.520300	35176	0.4045	0	0.0	N/A	N/A	N/A
NODE_93_length_34902_cov_70.325714	34902	0.4116	0	0.0	N/A	N/A	N/A
NODE_94_length_34700_cov_70.392514	34700	0.407	0	0.0	N/A	N/A	N/A
NODE_96_length_34233_cov_85.717883	34233	0.4261	0	0.0	N/A	N/A	N/A
NODE_101_length_33679_cov_74.323403	33679	0.4115	0	0.0179	N/A	N/A	N/A
NODE_111_length_32871_cov_66.055559	32871	0.4067	0	0.0	N/A	N/A	N/A
NODE_116_length_32549_cov_85.165281	32549	0.4464	0	0.0093	N/A	N/A	N/A
NODE_117_length_32521_cov_69.027925	32521	0.4318	0	0.0	N/A	N/A	N/A
NODE_121_length_32037_cov_71.518210	32037	0.4079	0	0.0	N/A	N/A	N/A
NODE_122_length_32007_cov_130.657532	32007	0.4217	0	0.0094	N/A	N/A	N/A
NODE_125_length_31935_cov_70.591468	31935	0.4184	0	0.0	N/A	N/A	N/A
NODE_128_length_31718_cov_67.394678	31718	0.4188	0	0.0	N/A	N/A	N/A
NODE_136_length_31428_cov_67.891327	31428	0.4079	0	0.0	N/A	N/A	N/A
NODE_142_length_30826_cov_96.864028	30826	0.4183	0	0.0049	N/A	N/A	N/A
NODE_143_length_30812_cov_72.298520	30812	0.4183	0	0.0	N/A	N/A	N/A
NODE_149_length_30239_cov_73.239739	30239	0.4217	0	0.0	N/A	N/A	N/A
NODE_153_length_30019_cov_63.196780	30019	0.3891	0	0.0	N/A	N/A	N/A
NODE_157_length_29729_cov_69.848138	29729	0.4091	0	0.0	N/A	N/A	N/A
NODE_159_length_29535_cov_63.670853	29535	0.4153	0	0.0	N/A	N/A	N/A
NODE_162_length_29483_cov_66.983167	29483	0.4074	0	0.0	N/A	N/A	N/A
NODE_166_length_29035_cov_77.316217	29035	0.4352	0	0.0	N/A	N/A	N/A
NODE_174_length_28514_cov_73.895523	28514	0.4132	0	0.0	N/A	N/A	N/A
NODE_182_length_28116_cov_81.779842	28116	0.4294	10	0.0054	N/A	N/A	N/A
NODE_187_length_27906_cov_68.931187	27906	0.411	0	0.0	N/A	N/A	N/A
NODE_188_length_27897_cov_71.671639	27897	0.4162	0	0.0	N/A	N/A	N/A
NODE_190_length_27773_cov_74.309684	27773	0.4222	0	0.0	N/A	N/A	N/A
NODE_195_length_27492_cov_93.386467	27492	0.4153	0	0.011	N/A	N/A	N/A
NODE_196_length_27441_cov_81.877284	27441	0.4157	0	0.0	N/A	N/A	N/A
NODE_197_length_27420_cov_77.323044	27420	0.435	0	0.0	N/A	N/A	N/A
NODE_200_length_27353_cov_69.057596	27353	0.4136	0	0.0055	N/A	N/A	N/A
NODE_214_length_26803_cov_93.584936	26803	0.4272	0	0.0	N/A	N/A	N/A
NODE_216_length_26714_cov_73.083230	26714	0.4281	0	0.0057	N/A	N/A	N/A
NODE_220_length_26509_cov_78.429517	26509	0.4074	0	0.0057	N/A	N/A	N/A
NODE_224_length_26310_cov_77.091831	26310	0.42	0	0.0	N/A	N/A	N/A
NODE_244_length_25616_cov_87.019460	25616	0.4149	0	0.1002	N/A	N/A	N/A
NODE_248_length_25415_cov_91.084142	25415	0.4116	0	0.0178	N/A	N/A	N/A
NODE_250_length_25387_cov_63.782892	25387	0.4006	0	0.0	N/A	N/A	N/A
NODE_252_length_25349_cov_71.638216	25349	0.4383	0	0.0	N/A	N/A	N/A
NODE_253_length_25344_cov_70.883643	25344	0.4248	0	0.0	N/A	N/A	N/A
NODE_256_length_25289_cov_68.168412	25289	0.4202	0	0.0	N/A	N/A	N/A
NODE_271_length_24607_cov_64.550999	24607	0.4155	0	0.0	N/A	N/A	N/A
NODE_276_length_24503_cov_69.914231	24503	0.4122	0	0.0	N/A	N/A	N/A
NODE_277_length_24481_cov_114.232216	24481	0.4294	0	0.0062	N/A	N/A	N/A
NODE_283_length_24372_cov_127.124964	24372	0.406	0	0.0	N/A	N/A	N/A
NODE_288_length_24172_cov_71.622494	24172	0.4336	0	142.4542	N/A	N/A	N/A
NODE_310_length_23246_cov_67.107083	23246	0.4189	0	0.0	N/A	N/A	N/A
NODE_318_length_22975_cov_74.838545	22975	0.4333	0	0.0	N/A	N/A	N/A
NODE_322_length_22896_cov_70.219948	22896	0.4024	0	0.0066	N/A	N/A	N/A
NODE_323_length_22861_cov_76.706197	22861	0.425	0	0.0	N/A	N/A	N/A
NODE_324_length_22821_cov_63.421782	22821	0.4252	100	0.0	N/A	N/A	N/A
NODE_331_length_22588_cov_62.656435	22588	0.4368	0	0.0	N/A	N/A	N/A
NODE_340_length_22460_cov_99.672787	22460	0.3949	0	0.0	N/A	N/A	N/A
NODE_349_length_22287_cov_78.882485	22287	0.4333	0	0.0	N/A	N/A	N/A
NODE_353_length_22180_cov_66.997964	22180	0.4067	0	0.0	N/A	N/A	N/A
NODE_354_length_22169_cov_67.531957	22169	0.4009	0	0.0	N/A	N/A	N/A
NODE_355_length_22129_cov_63.788636	22129	0.4045	10	0.0	N/A	N/A	N/A
NODE_356_length_22075_cov_76.296982	22075	0.4175	0	0.0	N/A	N/A	N/A
NODE_357_length_22026_cov_68.242881	22026	0.426	0	0.0	N/A	N/A	N/A
NODE_358_length_22000_cov_77.031291	22000	0.4177	0	0.0	N/A	N/A	N/A
NODE_360_length_21877_cov_68.044266	21877	0.407	0	0.0	N/A	N/A	N/A
NODE_362_length_21848_cov_76.334344	21848	0.4137	0	0.0	N/A	N/A	N/A
NODE_364_length_21740_cov_83.537091	21740	0.4269	0	0.0	N/A	N/A	N/A
NODE_369_length_21657_cov_125.604310	21657	0.4206	0	0.0	N/A	N/A	N/A
NODE_378_length_21466_cov_78.962831	21466	0.4173	0	0.0	N/A	N/A	N/A
NODE_379_length_21451_cov_65.703378	21451	0.4011	100	0.0	N/A	N/A	N/A
NODE_386_length_21367_cov_82.501174	21367	0.4044	0	0.0071	N/A	N/A	N/A
NODE_389_length_21323_cov_93.494540	21323	0.4653	0	0.0	N/A	N/A	N/A
NODE_394_length_21166_cov_66.072882	21166	0.4199	0	0.0	N/A	N/A	N/A
NODE_402_length_21069_cov_74.144865	21069	0.4694	0	0.0	N/A	N/A	N/A
NODE_403_length_21055_cov_98.560683	21055	0.4064	0	0.0	N/A	N/A	N/A
NODE_407_length_20962_cov_76.355327	20962	0.4281	0	0.1729	N/A	N/A	N/A
NODE_412_length_20887_cov_73.445123	20887	0.4276	0	0.0	N/A	N/A	N/A
NODE_419_length_20685_cov_76.588267	20685	0.4725	0	0.0	N/A	N/A	N/A
NODE_432_length_20500_cov_66.510160	20500	0.4129	0	0.0	N/A	N/A	N/A
NODE_437_length_20433_cov_67.678228	20433	0.4121	0	0.0	N/A	N/A	N/A
NODE_441_length_20395_cov_69.977901	20395	0.4137	0	0.0	N/A	N/A	N/A
NODE_445_length_20372_cov_68.899778	20372	0.4048	0	0.0	N/A	N/A	N/A
NODE_455_length_20111_cov_73.379455	20111	0.403	0	0.0075	N/A	N/A	N/A
NODE_456_length_20094_cov_65.630114	20094	0.3967	0	0.0	N/A	N/A	N/A
NODE_466_length_19958_cov_77.778381	19958	0.4129	0	0.0076	N/A	N/A	N/A
NODE_467_length_19932_cov_101.727676	19932	0.4248	0	0.0	N/A	N/A	N/A
NODE_469_length_19821_cov_65.950719	19821	0.4012	0	0.0	N/A	N/A	N/A
NODE_470_length_19802_cov_75.814956	19802	0.4548	0	0.0	N/A	N/A	N/A
NODE_471_length_19774_cov_80.606742	19774	0.424	0	0.0	N/A	N/A	N/A
NODE_473_length_19743_cov_86.165921	19743	0.4225	0	0.0229	N/A	N/A	N/A
NODE_478_length_19665_cov_69.856341	19665	0.3998	0	0.0	N/A	N/A	N/A
NODE_480_length_19652_cov_62.517752	19652	0.4086	0	0.0	N/A	N/A	N/A
NODE_487_length_19578_cov_66.229937	19578	0.4164	0	0.0	N/A	N/A	N/A
NODE_496_length_19490_cov_96.900170	19490	0.4054	0	0.0	N/A	N/A	N/A
